date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:52:02	76994/76994	---MCZ	200	added ('OK')	text/html	etag:W/d9d5994084fd3bb1520508a82fe3f504	https://mobij.bizwebvietnam.net/gioi-thieu	D:/HTTrack%20Downloads/about/mobij.bizwebvietnam.net/gioi-thieu.html	(from )
00:52:02	240/240	---M--	200	added ('OK')	text/plain	date:Sun,%2007%20Apr%202019%2017:52:03%20GMT	https://mobij.bizwebvietnam.net/robots.txt		(from )
00:52:03	3103/3103	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Dec%202018%2009:46:49%20GMT	http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/favicon.png?1548750789768	D:/HTTrack%20Downloads/about/bizweb.dktcdn.net/100/341/423/themes/700222/assets/favicon002a.png	(from https://mobij.bizwebvietnam.net/gioi-thieu)
00:52:03	4789/4789	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2007%20Apr%202019%2017:49:40%20GMT	http://stats.bizweb.vn/delivery/341423.js?lang=vi	D:/HTTrack%20Downloads/about/stats.bizweb.vn/delivery/341423e034.js	(from https://mobij.bizwebvietnam.net/gioi-thieu)
00:52:03	27466/27466	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	D:/HTTrack%20Downloads/about/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://mobij.bizwebvietnam.net/gioi-thieu)
00:52:03	53644/53644	---MCZ	200	added ('OK')	text/css	etag:W/%225b7eda32-d18c%22	https://cdnjs.cloudflare.com/ajax/libs/ionicons/4.4.1/css/ionicons.css	D:/HTTrack%20Downloads/about/cdnjs.cloudflare.com/ajax/libs/ionicons/4.4.1/css/ionicons.css	(from https://mobij.bizwebvietnam.net/gioi-thieu)
00:52:04	125078/125078	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Jan%202019%2008:35:33%20GMT	http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/plugin.scss.css?1548750789768	D:/HTTrack%20Downloads/about/bizweb.dktcdn.net/100/341/423/themes/700222/assets/plugin.scss002a.css	(from https://mobij.bizwebvietnam.net/gioi-thieu)
00:52:05	67537/67537	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Jan%202019%2008:35:33%20GMT	http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/base.scss.css?1548750789768	D:/HTTrack%20Downloads/about/bizweb.dktcdn.net/100/341/423/themes/700222/assets/base.scss002a.css	(from https://mobij.bizwebvietnam.net/gioi-thieu)
00:52:06	145008/145008	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Jan%202019%2008:35:33%20GMT	http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/style.scss.css?1548750789768	D:/HTTrack%20Downloads/about/bizweb.dktcdn.net/100/341/423/themes/700222/assets/style.scss002a.css	(from https://mobij.bizwebvietnam.net/gioi-thieu)
00:52:06	72367/72367	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Jan%202019%2008:35:33%20GMT	http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/module.scss.css?1548750789768	D:/HTTrack%20Downloads/about/bizweb.dktcdn.net/100/341/423/themes/700222/assets/module.scss002a.css	(from https://mobij.bizwebvietnam.net/gioi-thieu)
00:52:06	20063/20063	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Jan%202019%2008:35:33%20GMT	http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/responsive.scss.css?1548750789768	D:/HTTrack%20Downloads/about/bizweb.dktcdn.net/100/341/423/themes/700222/assets/responsive.scss002a.css	(from https://mobij.bizwebvietnam.net/gioi-thieu)
00:52:07	14606/14606	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Dec%202018%2009:46:50%20GMT	http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/i_menubar.png?1548750789768	D:/HTTrack%20Downloads/about/bizweb.dktcdn.net/100/341/423/themes/700222/assets/i_menubar002a.png	(from https://mobij.bizwebvietnam.net/gioi-thieu)
